index,label_id,label_name
0,3,cat
1,8,ship
2,8,ship
3,0,airplane
4,6,frog
5,6,frog
6,1,automobile
7,6,frog
8,3,cat
9,1,automobile
10,0,airplane
11,9,truck
12,5,dog
13,7,horse
14,9,truck
15,8,ship
16,5,dog
17,7,horse
18,8,ship
19,6,frog
20,7,horse
21,0,airplane
22,4,deer
23,9,truck
24,5,dog
25,2,bird
26,4,deer
27,0,airplane
28,9,truck
29,6,frog
30,6,frog
31,5,dog
32,4,deer
33,5,dog
34,9,truck
35,2,bird
36,4,deer
37,1,automobile
38,9,truck
39,5,dog
40,4,deer
41,6,frog
42,5,dog
43,6,frog
44,0,airplane
45,9,truck
46,3,cat
47,9,truck
48,7,horse
49,6,frog
50,9,truck
51,8,ship
52,0,airplane
53,3,cat
54,8,ship
55,8,ship
56,7,horse
57,7,horse
58,4,deer
59,6,frog
60,7,horse
61,3,cat
62,6,frog
63,3,cat
64,6,frog
65,2,bird
66,1,automobile
67,2,bird
68,3,cat
69,7,horse
70,2,bird
71,6,frog
72,8,ship
73,8,ship
74,0,airplane
75,2,bird
76,9,truck
77,3,cat
78,3,cat
79,8,ship
80,8,ship
81,1,automobile
82,1,automobile
83,7,horse
84,2,bird
85,5,dog
86,2,bird
87,7,horse
88,8,ship
89,9,truck
90,0,airplane
91,3,cat
92,8,ship
93,6,frog
94,4,deer
95,6,frog
96,6,frog
97,0,airplane
98,0,airplane
99,7,horse
100,4,deer
101,5,dog
102,6,frog
103,3,cat
104,1,automobile
105,1,automobile
106,3,cat
107,6,frog
108,8,ship
109,7,horse
110,4,deer
111,0,airplane
112,6,frog
113,2,bird
114,1,automobile
115,3,cat
116,0,airplane
117,4,deer
118,2,bird
119,7,horse
120,8,ship
121,3,cat
122,1,automobile
123,2,bird
124,8,ship
125,0,airplane
126,8,ship
127,3,cat
128,5,dog
129,2,bird
130,4,deer
131,1,automobile
132,8,ship
133,9,truck
134,1,automobile
135,2,bird
136,9,truck
137,7,horse
138,2,bird
139,9,truck
140,6,frog
141,5,dog
142,6,frog
143,3,cat
144,8,ship
145,7,horse
146,6,frog
147,2,bird
148,5,dog
149,2,bird
150,8,ship
151,9,truck
152,6,frog
153,0,airplane
154,0,airplane
155,5,dog
156,2,bird
157,9,truck
158,5,dog
159,4,deer
160,2,bird
161,1,automobile
162,6,frog
163,6,frog
164,8,ship
165,4,deer
166,8,ship
167,4,deer
168,5,dog
169,0,airplane
170,9,truck
171,9,truck
172,9,truck
173,8,ship
174,9,truck
175,9,truck
176,3,cat
177,7,horse
178,5,dog
179,0,airplane
180,0,airplane
181,5,dog
182,2,bird
183,2,bird
184,3,cat
185,8,ship
186,6,frog
187,3,cat
188,4,deer
189,0,airplane
190,5,dog
191,8,ship
192,0,airplane
193,1,automobile
194,7,horse
195,2,bird
196,8,ship
197,8,ship
198,7,horse
199,8,ship
200,5,dog
201,1,automobile
202,8,ship
203,7,horse
204,1,automobile
205,3,cat
206,0,airplane
207,5,dog
208,7,horse
209,9,truck
210,7,horse
211,4,deer
212,5,dog
213,9,truck
214,8,ship
215,0,airplane
216,7,horse
217,9,truck
218,8,ship
219,2,bird
220,7,horse
221,6,frog
222,9,truck
223,4,deer
224,3,cat
225,9,truck
226,6,frog
227,4,deer
228,7,horse
229,6,frog
230,5,dog
231,1,automobile
232,5,dog
233,8,ship
234,8,ship
235,0,airplane
236,4,deer
237,0,airplane
238,5,dog
239,5,dog
240,1,automobile
241,1,automobile
242,8,ship
243,9,truck
244,0,airplane
245,3,cat
246,1,automobile
247,9,truck
248,2,bird
249,2,bird
250,5,dog
251,3,cat
252,9,truck
253,9,truck
254,4,deer
255,0,airplane
256,3,cat
257,0,airplane
258,0,airplane
259,9,truck
260,8,ship
261,1,automobile
262,5,dog
263,7,horse
264,0,airplane
265,8,ship
266,2,bird
267,4,deer
268,7,horse
269,0,airplane
270,2,bird
271,3,cat
272,6,frog
273,3,cat
274,8,ship
275,5,dog
276,0,airplane
277,3,cat
278,4,deer
279,3,cat
280,9,truck
281,0,airplane
282,6,frog
283,1,automobile
284,0,airplane
285,9,truck
286,1,automobile
287,0,airplane
288,7,horse
289,9,truck
290,1,automobile
291,2,bird
292,6,frog
293,9,truck
294,3,cat
295,4,deer
296,6,frog
297,0,airplane
298,0,airplane
299,6,frog
300,6,frog
301,6,frog
302,3,cat
303,2,bird
304,6,frog
305,1,automobile
306,8,ship
307,2,bird
308,1,automobile
309,6,frog
310,8,ship
311,6,frog
312,8,ship
313,0,airplane
314,4,deer
315,0,airplane
316,7,horse
317,7,horse
318,5,dog
319,5,dog
320,3,cat
321,5,dog
322,2,bird
323,3,cat
324,4,deer
325,1,automobile
326,7,horse
327,5,dog
328,4,deer
329,6,frog
330,1,automobile
331,9,truck
332,3,cat
333,6,frog
334,6,frog
335,9,truck
336,3,cat
337,8,ship
338,0,airplane
339,7,horse
340,2,bird
341,6,frog
342,2,bird
343,5,dog
344,8,ship
345,5,dog
346,4,deer
347,6,frog
348,8,ship
349,9,truck
350,9,truck
351,1,automobile
352,0,airplane
353,2,bird
354,2,bird
355,7,horse
356,3,cat
357,2,bird
358,8,ship
359,0,airplane
360,9,truck
361,5,dog
362,8,ship
363,1,automobile
364,9,truck
365,4,deer
366,1,automobile
367,3,cat
368,8,ship
369,1,automobile
370,4,deer
371,7,horse
372,9,truck
373,4,deer
374,2,bird
375,7,horse
376,0,airplane
377,7,horse
378,0,airplane
379,6,frog
380,6,frog
381,9,truck
382,0,airplane
383,9,truck
384,2,bird
385,8,ship
386,7,horse
387,2,bird
388,2,bird
389,5,dog
390,1,automobile
391,2,bird
392,6,frog
393,2,bird
394,9,truck
395,6,frog
396,2,bird
397,3,cat
398,0,airplane
399,3,cat
400,9,truck
401,8,ship
402,7,horse
403,8,ship
404,8,ship
405,4,deer
406,0,airplane
407,1,automobile
408,8,ship
409,2,bird
410,7,horse
411,9,truck
412,3,cat
413,6,frog
414,1,automobile
415,9,truck
416,0,airplane
417,7,horse
418,3,cat
419,7,horse
420,4,deer
421,5,dog
422,0,airplane
423,0,airplane
424,2,bird
425,9,truck
426,3,cat
427,4,deer
428,0,airplane
429,6,frog
430,2,bird
431,5,dog
432,3,cat
433,7,horse
434,3,cat
435,7,horse
436,2,bird
437,5,dog
438,3,cat
439,1,automobile
440,1,automobile
441,4,deer
442,9,truck
443,9,truck
444,5,dog
445,7,horse
446,5,dog
447,0,airplane
448,2,bird
449,2,bird
450,2,bird
451,9,truck
452,7,horse
453,3,cat
454,9,truck
455,4,deer
456,3,cat
457,5,dog
458,4,deer
459,6,frog
460,5,dog
461,6,frog
462,1,automobile
463,4,deer
464,3,cat
465,4,deer
466,4,deer
467,3,cat
468,7,horse
469,8,ship
470,3,cat
471,7,horse
