index,eu_proxy
0,0.824017658829689
1,0.7827700972557068
2,0.836490198969841
3,0.8634335994720459
4,0.7687365412712097
5,0.8175551742315292
6,0.7955101132392883
7,0.7563862353563309
8,0.7787283062934875
9,0.7897132635116577
10,0.7899750471115112
11,0.7779659032821655
12,0.7555266320705414
13,0.7779964506626129
14,0.7970685064792633
15,0.8088537603616714
16,0.8012683689594269
17,0.7778830528259277
18,0.803475946187973
19,0.7423315048217773
20,0.7721344381570816
21,0.7885794192552567
22,0.7583643794059753
23,0.8448926359415054
24,0.767402172088623
25,0.7898715138435364
26,0.7031301259994507
27,0.7613488733768463
28,0.7964161038398743
29,0.7568242698907852
30,0.7984828948974609
31,0.7655834704637527
32,0.7701884657144547
33,0.7940330058336258
34,0.774789422750473
35,0.7874725908041
36,0.7587975263595581
37,0.8169111609458923
38,0.8210128843784332
39,0.7801102697849274
40,0.7498219609260559
41,0.7447505593299866
42,0.7906417399644852
43,0.7525732070207596
44,0.7857425063848495
45,0.7916738092899323
46,0.7892351150512695
47,0.7988839596509933
48,0.7567037642002106
49,0.7873229086399078
50,0.7968733906745911
51,0.7849587500095367
52,0.7599707543849945
53,0.7993004471063614
54,0.7997176051139832
55,0.8388782292604446
56,0.7897019386291504
57,0.7736776024103165
58,0.8075578510761261
59,0.7859356701374054
60,0.7437130212783813
61,0.7597015202045441
62,0.7555632144212723
63,0.7663822621107101
64,0.7938874959945679
65,0.7586029767990112
66,0.7954423576593399
67,0.7797187864780426
68,0.7927665114402771
69,0.7655148506164551
70,0.7951851785182953
71,0.7888552844524384
72,0.7678762376308441
73,0.7850488126277924
74,0.8106492757797241
75,0.7623708844184875
76,0.7596615850925446
77,0.7740171104669571
78,0.7852070182561874
79,0.7919877171516418
80,0.7820884883403778
81,0.8073672354221344
82,0.7534600496292114
83,0.7879930138587952
84,0.7610746175050735
85,0.7753750681877136
86,0.7643036246299744
87,0.7797305136919022
88,0.8086404949426651
89,0.8138139396905899
